,Timestamp,Comments,comments_comp,comments_neg,comments_neu,comments_pos
0,4/1/2018,17,0.280721472,0.040760482,0.789152454,0.170083869
1,4/2/2018,21,0.224903887,0.043198124,0.851509004,0.10527969
2,4/3/2018,31,0.242969057,0.041369371,0.809679312,0.146606393
3,4/4/2018,12,0.28235537,0.059319733,0.760174784,0.177457413
4,4/5/2018,29,0.241208746,0.065450555,0.729389757,0.205163661
5,4/6/2018,9,0.169883605,0.068961672,0.685002997,0.195960331
6,4/7/2018,20,0.210878462,0.046371208,0.805693373,0.138340372
7,4/8/2018,15,0.342886086,0.033890554,0.696006576,0.270089957
8,4/9/2018,23,0.278924285,0.050691235,0.702314898,0.246966792
9,4/10/2018,31,0.373261592,0.030974023,0.777527118,0.191470821
10,4/11/2018,54,0.274995341,0.024912308,0.632425984,0.342629357
11,4/12/2018,20,0.156515926,0.048722222,0.827777778,0.119848148
12,4/13/2018,20,0.432137704,0.02523239,0.635272327,0.25617673
13,4/14/2018,20,0.158982667,0.068113333,0.79334,0.138613333
14,4/15/2018,98,0.386765217,0.019701087,0.671210145,0.306376812
15,4/16/2018,10,0.216733486,0.059435694,0.743504306,0.186006111
16,4/17/2018,24,0.235688106,0.037797618,0.775510636,0.186660979
17,4/18/2018,51,0.180324164,0.043589077,0.79777142,0.157587037
18,4/19/2018,31,0.241541208,0.037372181,0.816100805,0.145924516
19,4/20/2018,22,0.271112819,0.033503052,0.725615242,0.193818594
20,4/21/2018,27,0.236091955,0.073384587,0.744597563,0.180289212
21,4/22/2018,15,0.325515774,0.039648088,0.808934506,0.151422565
22,4/23/2018,18,0.276886797,0.042505848,0.821706855,0.129028964
23,4/24/2018,18,0.218668996,0.086574274,0.736028995,0.156257817
24,4/25/2018,22,0.235759552,0.039779807,0.817949659,0.138837683
25,4/26/2018,22,0.272990354,0.036147803,0.782388946,0.176553197
26,4/27/2018,21,0.334182566,0.018012077,0.840023341,0.141963926
27,4/28/2018,52,0.320564196,0.023656548,0.789946429,0.186435714
28,4/29/2018,7,0.400304862,0.042554989,0.754155561,0.203220393
29,4/30/2018,0,,,,
30,5/1/2018,0,,,,
31,5/2/2018,1,0.587699078,0.012167062,0.769817358,0.218010771
32,5/3/2018,39,0.278226277,0.039968924,0.775396379,0.182064038
33,5/4/2018,11,-0.010074838,0.096232504,0.810445527,0.079425144
34,5/5/2018,9,0.479892407,0.027328836,0.768971825,0.203730291
35,5/6/2018,3,0.160543056,0.023122222,0.721711111,0.0885
36,5/7/2018,14,0.235521307,0.057870016,0.793004385,0.145484205
37,5/8/2018,11,0.224114003,0.041979939,0.760179368,0.13534373
