,Timestamp,Comments,comments_comp,comments_neg,comments_neu,comments_pos
0,4/1/2018,16,0.061688663,0.085330652,0.767795009,0.137109928
1,4/2/2018,15,0.164135202,0.061594457,0.770948666,0.140667124
2,4/3/2018,18,0.161394596,0.063639015,0.792088337,0.132464882
3,4/4/2018,29,0.173113895,0.055378789,0.780561759,0.14325138
4,4/5/2018,8,0.127617723,0.066882624,0.782810961,0.133795341
5,4/6/2018,10,0.170299612,0.065131621,0.779975019,0.136391059
6,4/7/2018,16,0.111093118,0.0607262,0.837815222,0.100446408
7,4/8/2018,17,0.150714976,0.076204492,0.766866454,0.149687464
8,4/9/2018,9,0.061647254,0.112643484,0.758976602,0.118769912
9,4/10/2018,11,0.047395244,0.099731672,0.801602132,0.095598001
10,4/11/2018,9,0.140000538,0.06776618,0.772381686,0.151697494
11,4/12/2018,17,0.103375753,0.061992064,0.795395866,0.136744118
12,4/13/2018,14,0.135868392,0.073149924,0.775362391,0.141207889
13,4/14/2018,23,0.109848653,0.073255547,0.782560855,0.136474961
14,4/15/2018,15,0.12284743,0.077810631,0.777973221,0.133976513
15,4/16/2018,18,0.146279615,0.063473203,0.753998778,0.13427819
16,4/17/2018,20,0.162518459,0.076865554,0.788489497,0.133516871
17,4/18/2018,15,0.094250411,0.079420125,0.792139032,0.126428801
18,4/19/2018,21,0.133882243,0.069693134,0.814148928,0.113071848
19,4/20/2018,14,0.168292246,0.06544927,0.782026307,0.140581546
20,4/21/2018,15,0.150618192,0.070284913,0.799338542,0.124899714
21,4/22/2018,23,0.127022915,0.064402574,0.815073511,0.116247703
22,4/23/2018,11,0.156001631,0.079320271,0.783578028,0.132367312
23,4/24/2018,12,0.133777549,0.082026923,0.772882795,0.125487403
24,4/25/2018,8,0.130713063,0.067470203,0.791697255,0.129034493
25,4/26/2018,13,0.114995082,0.070637583,0.80392738,0.122381296
26,4/27/2018,9,0.098290375,0.075633988,0.790771292,0.132581509
27,4/28/2018,13,0.173526174,0.060590125,0.807236682,0.117571741
28,4/29/2018,4,0.166214171,0.058902573,0.780511984,0.150494907
29,4/30/2018,0,0.227884057,0.056837158,0.79639496,0.138830581
30,5/1/2018,0,0.061894184,0.049237442,0.846699698,0.102768248
31,5/2/2018,1,0.167670771,0.077770445,0.777928299,0.130765069
32,5/3/2018,5,0.143848178,0.080392696,0.765785545,0.143657737
33,5/4/2018,8,0.134006215,0.066619638,0.795600771,0.120797227
34,5/5/2018,12,0.111156967,0.072354557,0.791291299,0.126962092
35,5/6/2018,20,0.171069878,0.064977518,0.813984907,0.118804876
